USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0      79028   7108 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             6     2          0      0 0                   0 I [kworker/0:0-virtio_vsock]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            11     2          0      0 0                   0 I [rcu_tasks_kthread]
root            12     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 I [rcu_preempt]
root            15     2          0      0 0                   0 S [rcub/0]
root            16     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            17     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            18     2          0      0 0                   0 S [migration/0]
root            19     2          0      0 0                   0 S [idle_inject/0]
root            21     2          0      0 0                   0 S [cpuhp/0]
root            22     2          0      0 0                   0 S [cpuhp/1]
root            23     2          0      0 0                   0 S [idle_inject/1]
root            24     2          0      0 0                   0 S [migration/1]
root            25     2          0      0 0                   0 S [ksoftirqd/1]
root            28     2          0      0 0                   0 S [cpuhp/2]
root            29     2          0      0 0                   0 S [idle_inject/2]
root            30     2          0      0 0                   0 S [migration/2]
root            31     2          0      0 0                   0 S [ksoftirqd/2]
root            34     2          0      0 0                   0 S [cpuhp/3]
root            35     2          0      0 0                   0 S [idle_inject/3]
root            36     2          0      0 0                   0 S [migration/3]
root            37     2          0      0 0                   0 S [ksoftirqd/3]
root            40     2          0      0 0                   0 I [inet_frag_wq]
root            41     2          0      0 0                   0 S [kauditd]
root            42     2          0      0 0                   0 S [khungtaskd]
root            43     2          0      0 0                   0 S [oom_reaper]
root            44     2          0      0 0                   0 I [writeback]
root            45     2          0      0 0                   0 S [kcompactd0]
root            46     2          0      0 0                   0 S [khugepaged]
root            47     2          0      0 0                   0 I [cryptd]
root            48     2          0      0 0                   0 I [kblockd]
root            49     2          0      0 0                   0 I [blkcg_punt_bio]
root            50     2          0      0 0                   0 I [edac-poller]
root            51     2          0      0 0                   0 I [devfreq_wq]
root            52     2          0      0 0                   0 S [watchdogd]
root            57     2          0      0 0                   0 S [kswapd0]
root            59     2          0      0 0                   0 S [erofs_worker/0]
root            60     2          0      0 0                   0 S [erofs_worker/1]
root            61     2          0      0 0                   0 S [erofs_worker/2]
root            62     2          0      0 0                   0 S [erofs_worker/3]
root            63     2          0      0 0                   0 I [kthrotld]
root            64     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root            65     2          0      0 0                   0 I [nvme-wq]
root            66     2          0      0 0                   0 I [nvme-reset-wq]
root            67     2          0      0 0                   0 I [nvme-delete-wq]
root            68     2          0      0 0                   0 I [uas]
root            69     2          0      0 0                   0 I [dm_bufio_cache]
root            71     2          0      0 0                   0 I [mld]
root            72     2          0      0 0                   0 I [ipv6_addrconf]
root            75     2          0      0 0                   0 S [khvcd]
